AgentRefID,total_payment,total_successfull_payments,total_failed_payments,total_amount_transaction,max_amount_transaction,min_amount_transaction,avg_amount_transaction,median_amount_transaction,total_amount_transaction_gt100,total_count_transaction_gt100,total_amount_transaction_gt1000,total_count_transaction_gt1000,total_amount_transcation_debit,total_amount_transaction_credit,total_unique_payee,total_unique_distributer,avg_count_payment_permonth,avg_count_payment_gt100_permonth,avg_amount_payment_permonth,avg_amout_payment_gt100_permonth,avg_last_month_amount_txn,avg_txn_first_week,avg_last_month_1week_amount_txn,last_month_amount_gt100,vintage,recency,total_ticket_raised,total_ticket_raised_last_2_month,avg_ticked_rasied_per_month,Churn
587,675,623,52,1259901.0,5000.0,1.0,2022.3130016051364,1700.0,1259631.0,452,1164243.0,339,1259743.0,158.0,201,1,94.0,64.71428571428571,2041.138403948021,2806.9879516228834,123212.0,1885.7247191011236,36304.0,123195.0,204.0,1.0,0.0,0.0,0.0,0.0
735,4298,4040,258,9506844.0,25000.0,1.0,2353.179207920792,1500.0,9505008.0,2868,8925544.0,2180,9505690.0,1154.0,1241,1,571.0,410.42857142857144,2344.0731775816,3296.3041583787517,996388.0,2344.724171539961,368225.0,996207.0,203.0,1.0,10.0,0.0,2.5,0.0
755,332,319,13,720097.0,5000.0,1.0,2257.35736677116,2000.0,719960.0,251,674060.0,199,720030.0,67.0,137,1,72.0,50.2,2197.3285862582,2769.2446393762184,0.0,1983.8133333333333,0.0,0.0,169.0,35.0,0.0,0.0,0.0,1.0
256,8917,8600,317,26335177.0,49999.0,1.0,3062.22988372093,2000.0,26333131.0,7548,25360324.0,6351,26334731.0,446.0,3931,1,1242.0,1079.5714285714287,3056.3203389937885,3460.7130378432607,3337999.0,3255.223220456116,406978.0,3337893.0,203.0,1.0,2.0,2.0,2.0,0.0
373,269,249,20,545040.0,10000.0,1.0,2188.9156626506024,2000.0,544890.0,174,520210.0,145,544968.0,72.0,145,1,249.0,174.0,2188.9156626506024,3131.551724137931,0.0,2107.3564356435645,0.0,0.0,18.0,186.0,0.0,0.0,0.0,1.0
874,2369,2217,152,4788926.0,25000.0,1.0,2160.0929183581416,1599.0,4788049.0,1487,4521019.0,1189,4788199.0,727.0,802,1,329.0,212.42857142857142,2200.159005483067,3240.876075803136,171555.0,2140.0714285714284,75071.0,171537.0,199.0,5.0,1.0,0.0,1.0,1.0
4458,181,178,3,369530.0,25000.0,1.0,2076.0112359550562,1490.0,369460.0,108,353970.0,91,369461.0,69.0,77,1,28.0,27.0,1911.3881111476846,3127.4278726321036,42338.0,2885.3,30205.0,42330.0,81.0,10.0,0.0,0.0,0.0,0.0
350,2753,2638,115,5927091.0,5000.0,1.0,2246.8123578468535,2000.0,5926247.0,2041,5495264.0,1546,5926503.0,588.0,1189,1,375.0,291.85714285714283,2279.5888747316435,2880.0976355586063,442499.0,2268.117737003058,185578.0,442470.0,203.0,1.0,1.0,1.0,1.0,0.0
369,14,14,0,34891.0,5000.0,1.0,2492.214285714286,2750.0,34650.0,10,34500.0,9,34890.0,1.0,6,1,3.0,3.0,2730.041666666667,3443.75,0.0,150.0,0.0,0.0,157.0,22.0,0.0,0.0,0.0,0.0
263,649,594,55,1377311.0,15000.0,1.0,2318.705387205387,2000.0,1377115.0,398,1332565.0,347,1377116.0,195.0,290,3,81.0,79.6,1981.3037356442953,2894.9941437214666,0.0,2045.3333333333333,0.0,0.0,153.0,25.0,1.0,0.0,1.0,1.0
732,354,294,60,554111.0,5000.0,1.0,1884.7312925170068,1400.0,553910.0,192,515950.0,150,554010.0,101.0,155,1,73.5,48.25,1886.1358983649202,2871.522663652024,129851.0,1687.6666666666667,50806.0,129830.0,102.0,1.0,0.0,0.0,0.0,0.0
266,381,358,23,784472.0,5000.0,1.0,2191.2625698324023,2000.0,784221.0,206,772621.0,193,784321.0,151.0,145,2,18.0,29.571428571428573,2113.3309137225524,4091.4123505677017,251590.0,2041.8333333333333,48702.0,251540.0,188.0,1.0,0.0,0.0,0.0,0.0
297,3008,2845,163,7230853.0,25000.0,1.0,2541.600351493849,2000.0,7229165.0,2066,6866570.0,1633,7230086.0,767.0,1348,2,565.0,414.4,2434.8539271696104,3355.7374638269102,0.0,2400.5709728867623,0.0,0.0,141.0,63.0,6.0,0.0,1.5,1.0
164,4767,4550,217,8317802.0,22000.0,1.0,1828.0883516483516,1000.0,8315308.0,2965,7660787.0,2114,8316239.0,1563.0,1656,1,681.0,424.85714285714283,1848.6120958999054,2819.54178952329,696999.0,1848.7374031007753,252663.0,696875.0,203.0,1.0,12.0,0.0,3.0,0.0
281,1353,1277,76,3347766.0,23200.0,1.0,2621.5865309318715,2000.0,3347332.0,942,3218112.0,800,3347432.0,334.0,516,1,177.0,134.71428571428572,2800.453269921658,3522.241091414278,272820.0,2976.2535714285714,111010.0,272820.0,203.0,1.0,0.0,0.0,0.0,0.0
1022,198,188,10,496569.0,25000.0,1.0,2641.324468085106,1850.0,495690.0,118,482140.0,100,496510.0,59.0,84,1,18.0,17.714285714285715,2935.7270803270803,5065.777802316818,5001.0,2380.090909090909,0.0,5000.0,200.0,4.0,1.0,0.0,1.0,0.0
1246,225,212,13,423960.0,8360.0,1.0,1999.811320754717,1310.0,423699.0,149,390736.0,111,423900.0,60.0,104,1,11.0,21.571428571428573,2228.497416317744,2874.0509618261717,2600.0,1975.5434782608695,100.0,2600.0,199.0,5.0,0.0,0.0,0.0,0.0
383,541,497,44,905607.0,10000.0,1.0,1822.1468812877263,1300.0,905250.0,338,852470.0,272,905451.0,156.0,258,1,95.5,56.666666666666664,2093.5896700100952,2659.5247976374817,0.0,1692.8125,0.0,0.0,176.0,27.0,1.0,0.0,1.0,0.0
409,11449,10845,604,22306337.0,25000.0,1.0,2056.8314430613186,1200.0,22296300.0,8415,20788607.0,6223,22304001.0,2336.0,3769,1,1599.0,1211.142857142857,2048.7984411546818,2617.2663788906,1405195.0,2055.8162202380954,559468.0,1404966.0,203.0,1.0,16.0,1.0,2.6666666666666665,0.0
419,6165,5893,272,12373700.0,49999.0,1.0,2099.728491430511,1500.0,12371044.0,4474,11355614.0,3242,12372297.0,1403.0,2363,1,771.0,640.8571428571429,2114.1486340298275,2773.9976806618447,1556473.0,2232.4371134020616,830380.0,1556289.0,203.0,1.0,0.0,0.0,0.0,0.0
422,462,452,10,1073946.0,5000.0,1.0,2375.9867256637167,2000.0,1073939.0,445,1029119.0,371,1073939.0,7.0,321,1,23.0,63.57142857142857,2239.3078340021266,2263.6556418893447,59000.0,2321.5636363636363,5000.0,59000.0,197.0,7.0,0.0,0.0,0.0,0.0
437,2089,1989,100,4280473.0,36500.0,1.0,2152.0729009552538,1500.0,4279779.0,1493,3942533.0,1055,4279983.0,490.0,901,1,251.0,213.57142857142858,2189.195569967515,2879.54743864811,879044.0,2063.887619047619,382982.0,878936.0,201.0,1.0,0.0,0.0,0.0,0.0
446,7083,6827,256,13088380.0,25000.0,1.0,1917.1495532444706,1500.0,13085429.0,5163,11789944.0,3574,13086737.0,1643.0,2901,1,890.0,739.4285714285714,1882.868846465892,2489.986275484835,1833388.0,1985.8207492795389,640956.0,1833180.0,203.0,1.0,1.0,0.0,1.0,0.0
558,1367,1297,70,3120609.0,8000.0,1.0,2406.0208172706243,2000.0,3120608.0,1296,2935619.0,1030,3120608.0,1.0,606,1,219.0,185.14285714285714,2365.974332752983,2367.5504458522514,138450.0,2319.297577854671,40350.0,138450.0,203.0,1.0,1.0,0.0,1.0,0.0
563,1456,1411,45,3572812.0,20000.0,1.0,2532.1133947554927,2000.0,3572601.0,1398,3406251.0,1187,3572804.0,8.0,792,1,190.0,200.0,2554.1234187082773,2578.1224464515503,424030.0,2508.6088992974237,242151.0,424029.0,203.0,1.0,6.0,2.0,2.0,0.0
608,371,332,39,412329.0,5000.0,1.0,1241.9548192771085,900.0,412215.0,218,345300.0,126,412215.0,114.0,132,1,56.0,31.142857142857142,1324.4944042343511,1928.1746941200722,29022.0,1508.3979591836735,18692.0,29020.0,200.0,4.0,0.0,0.0,0.0,0.0
