AgentRefID,max_amount_transaction,min_amount_transaction,avg_amount_transaction,median_amount_transaction,total_amount_transaction_credit,total_unique_distributer,avg_amout_payment_gt100_permonth,avg_txn_first_week,avg_last_month_1week_amount_txn,vintage,total_ticket_raised_last_2_month,avg_ticked_rasied_per_month,Churn,Total_Score
2523,5000.0,1.0,2407.1832061068703,2000.0,393.0,1,3202.2843930396657,2355.6806722689075,166716.0,202.0,0.0,0.0,0.0,4
2854,9000.0,1.0,3510.5705645161293,2600.0,3.0,1,3751.7255113575798,4194.375,0.0,139.0,0.0,0.0,1.0,6
2828,19000.0,1.0,3108.28,2000.0,14.0,1,3706.174756814655,3023.95652173913,27500.0,201.0,0.0,0.0,0.0,5
4439,3900.0,3900.0,3900.0,3900.0,0.0,1,3900.0,0.0,0.0,0.0,0.0,0.0,1.0,12
2906,5000.0,2000.0,3500.0,3500.0,0.0,1,3500.0,0.0,0.0,0.0,0.0,0.0,1.0,11
2427,20006.0,1.0,5284.137931034483,3000.0,5.0,1,8636.4375,9233.375,0.0,152.0,0.0,2.75,1.0,10
3141,5000.0,1.0,1967.333333333333,1500.0,1.0,1,2142.625,8.0,0.0,173.0,0.0,4.0,1.0,11
2648,5000.0,1.0,2764.020833333333,2175.0,7.0,1,3077.722222222222,2855.0,800.0,201.0,0.0,0.0,0.0,7
2718,100.0,100.0,100.0,100.0,0.0,1,100.0,0.0,0.0,0.0,0.0,1.0,1.0,12
2404,5000.0,1.0,1536.375,1000.0,1.0,1,1399.1666666666665,2000.0,0.0,89.0,0.0,0.0,1.0,12
2827,10000.0,1.0,2737.444444444445,2100.0,2.0,1,3956.875,6200.0,0.0,19.0,1.0,1.0,1.0,11
2617,45000.0,1.0,7000.0,5000.0,1.0,1,9961.531464180418,11170.027027027028,81027.0,200.0,0.0,1.0,0.0,5
3166,5000.0,1.0,1700.333333333333,100.0,1.0,1,2550.0,5000.0,5000.0,41.0,0.0,1.0,0.0,11
2570,25000.0,1.0,2862.261261261261,2200.0,30.0,2,4059.4637468030687,2079.0526315789475,0.0,138.0,0.0,0.0,0.0,8
2236,5000.0,1.0,1695.9545454545455,250.5,11.0,2,2753.333333333333,1991.3636363636365,0.0,70.0,0.0,3.0,1.0,10
